Accident_Index,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area
2016010000289,4,1,1,0,0,1
2016010000290,4,2,2,0,0,1
2016010000291,4,1,1,0,0,1
2016010000292,1,1,1,0,0,1
2016010000293,4,1,1,0,0,1
2016010000294,4,1,1,0,0,1
2016010000295,4,2,2,4,0,1
2016010000298,4,1,2,0,0,1
2016010000299,1,1,2,0,0,1
2016010000300,4,1,1,0,0,1
2016010000302,1,1,1,0,0,1
2016010000303,4,1,1,0,0,1
2016010000304,4,2,2,0,0,1
2016010000305,4,2,2,0,0,1
2016010000306,4,2,2,0,0,1
2016010000307,1,1,1,0,0,1
2016010000308,1,1,1,0,0,1
2016010000310,4,1,2,0,0,1
2016010000311,4,1,1,0,0,1
2016010000316,4,1,1,0,0,1
2016010000319,1,1,2,0,0,1
2016010000320,4,1,2,0,2,1
2016010000323,4,1,2,0,0,1
2016010000325,1,1,1,0,0,1
2016010000327,4,9,2,0,0,1
2016010000331,1,1,1,0,0,1
2016010000332,1,1,1,4,2,1
2016010000333,1,1,1,0,0,1
2016010000334,1,1,1,0,0,1
2016010000337,1,1,1,0,0,2
2016010000339,1,1,1,0,0,1
2016010000340,1,1,1,0,0,1
2016010000341,1,1,1,0,0,1
2016010000343,1,1,1,0,0,1
2016010000344,1,1,1,0,0,1
2016010000345,1,1,1,0,0,1
2016010000347,4,1,1,0,0,1
2016010000348,1,1,1,0,0,1
2016010000349,1,1,1,0,0,1
2016010000352,1,2,2,0,0,1
2016010000354,1,2,2,0,0,1
2016010000356,1,1,1,0,0,1
2016010000357,1,2,2,0,0,1
2016010000358,1,1,1,0,0,1
2016010000359,1,1,1,0,0,1
2016010000361,1,1,1,0,0,1
2016010000362,1,2,2,0,0,1
2016010000363,1,1,1,0,0,1
2016010000364,1,2,2,0,0,1
2016010000365,1,2,2,0,2,2
2016010000367,1,2,2,0,0,1
2016010000368,1,2,2,0,0,1
2016010000370,1,1,1,0,0,1
2016010000373,1,1,1,0,0,1
2016010000374,1,2,2,0,0,1
2016010000375,1,2,2,0,0,1
2016010000377,4,2,2,0,0,1
2016010000378,1,1,1,0,0,1
2016010000379,4,2,2,0,0,1
2016010000380,4,2,2,0,0,1
2016010000381,1,2,2,0,0,1
2016010000383,4,2,2,0,0,1
2016010000384,4,2,2,0,0,1
2016010000386,4,2,2,0,0,1
2016010000388,1,2,2,0,0,1
2016010000389,1,2,2,0,0,1
2016010000390,1,2,2,0,0,1
2016010000391,4,1,2,0,0,1
2016010000392,4,2,2,0,0,1
2016010000393,4,8,2,0,0,1
2016010000394,4,2,2,0,0,1
2016010000395,4,2,2,0,0,1
2016010000396,4,2,2,0,2,1
2016010000397,4,1,1,0,0,1
2016010000398,4,2,2,0,0,1
2016010000399,4,1,2,0,0,1
2016010000400,4,8,2,0,0,1
2016010000401,4,2,2,0,0,1
2016010000402,4,8,2,0,0,1
2016010000403,4,2,2,0,0,1
2016010000405,4,2,2,0,6,1
2016010000406,4,2,2,0,0,1
2016010000407,4,2,2,0,0,1
2016010000408,1,1,2,0,0,1
2016010000411,4,2,2,0,0,1
2016010000413,4,2,2,0,0,1
2016010000414,1,2,2,0,0,1
2016010000416,1,1,1,0,0,1
2016010000417,4,2,2,0,2,1
2016010000418,4,1,1,0,0,1
2016010000419,4,1,1,0,0,1
2016010000420,4,2,2,0,0,1
2016010000422,4,1,2,0,0,1
2016010000423,4,1,2,0,0,1
2016010000424,4,8,2,0,0,1
2016010000425,4,2,2,0,0,1
2016010000426,4,2,2,0,0,1
2016010000427,4,2,2,0,0,1
2016010000428,4,2,2,0,0,1
2016010000429,4,1,2,0,0,1
2016010000433,4,8,2,0,0,1
2016010000436,4,1,2,0,0,1
2016010000437,4,7,2,0,0,2
2016010000438,4,1,2,0,2,1
2016010000439,4,2,2,0,2,1
2016010000441,4,1,2,0,0,1
2016010000444,4,1,1,0,0,1
2016010000445,4,1,1,0,0,1
2016010000446,4,1,2,0,0,1
2016010000447,4,1,2,0,0,1
2016010000449,4,1,1,0,0,1
2016010000452,4,1,1,0,0,1
2016010000453,7,9,1,0,0,1
2016010000454,1,1,1,0,2,1
2016010000455,1,1,1,0,0,1
2016010000456,1,1,1,0,0,1
2016010000457,1,1,1,0,2,2
2016010000459,1,1,1,0,0,1
2016010000460,1,1,1,0,0,1
2016010000461,1,1,1,0,0,1
2016010000462,1,1,1,0,0,1
2016010000463,1,1,1,0,0,1
2016010000464,1,1,1,0,0,1
2016010000465,1,2,2,0,0,1
2016010000467,1,1,1,0,0,1
2016010000470,1,1,1,0,0,1
2016010000471,4,1,1,0,0,1
2016010000472,1,1,1,0,0,1
2016010000473,1,1,1,0,0,1
2016010000474,1,1,1,0,0,1
2016010000476,1,1,1,0,0,1
2016010000478,1,1,1,0,0,1
2016010000479,1,1,1,0,0,1
2016010000481,1,1,1,0,0,1
2016010000482,4,1,1,0,0,1
2016010000483,4,1,2,0,0,1
2016010000484,7,9,-1,0,-1,1
2016010000485,1,1,1,0,0,1
2016010000486,4,1,2,0,0,1
2016010000487,1,9,1,0,2,1
2016010000488,1,1,1,0,0,1
2016010000490,4,1,1,0,0,1
2016010000491,4,2,2,0,0,1
2016010000492,4,1,1,0,0,1
2016010000494,1,1,1,0,0,1
2016010000495,4,1,1,0,0,1
2016010000496,4,1,1,0,0,1
2016010000497,4,1,1,0,0,1
2016010000498,4,1,1,0,0,1
2016010000499,1,1,1,0,0,1
2016010000500,4,1,2,0,0,1
2016010000501,1,1,1,0,0,1
2016010000502,4,1,1,0,0,1
2016010000503,4,8,1,0,0,1
2016010000504,4,1,1,0,0,1
2016010000505,4,1,1,0,0,1
2016010000506,4,1,1,0,7,1
2016010000507,4,1,1,0,0,1
2016010000509,4,1,1,0,0,1
2016010000511,7,1,1,0,0,1
2016010000513,4,4,1,0,0,1
2016010000514,4,1,1,0,0,1
2016010000515,4,1,1,0,0,1
2016010000516,4,1,1,0,0,1
2016010000517,1,1,1,0,0,1
2016010000518,4,1,1,0,0,1
2016010000519,4,1,1,0,0,1
2016010000522,4,1,1,0,0,1
2016010000523,4,1,1,0,0,1
2016010000524,4,1,1,0,0,1
2016010000526,4,1,1,0,0,1
2016010000527,4,1,1,0,0,1
2016010000529,4,1,2,0,0,1
2016010000531,4,1,1,0,0,1
2016010000533,4,1,1,0,0,1
2016010000534,4,1,1,0,0,1
2016010000535,4,1,1,0,0,1
2016010000536,4,1,1,0,0,1
2016010000538,4,1,1,0,0,1
2016010000541,1,1,1,0,0,1
2016010000544,1,1,1,0,-1,1
2016010000545,1,1,1,0,0,1
2016010000546,1,1,1,0,0,1
2016010000547,1,1,1,0,0,1
2016010000548,1,1,1,0,0,1
2016010000550,1,1,1,0,0,1
2016010000551,1,1,1,0,0,1
2016010000552,1,1,1,0,0,1
2016010000553,1,1,1,4,2,1
2016010000554,1,1,1,0,0,1
2016010000555,1,1,1,0,0,1
2016010000556,1,1,1,0,0,1
2016010000557,1,1,1,0,0,1
2016010000558,1,1,1,0,0,2
2016010000560,1,1,1,0,2,1
2016010000562,1,1,1,0,0,1
2016010000563,1,1,1,0,0,1
2016010000564,1,1,1,0,0,1
2016010000566,4,1,1,0,2,1
2016010000568,1,8,2,0,0,1
2016010000569,4,2,2,0,0,1
2016010000570,4,2,2,0,0,1
2016010000572,4,2,2,0,0,1
2016010000575,4,2,2,0,0,1
2016010000576,4,2,2,0,2,1
2016010000577,1,1,2,0,0,1
2016010000578,4,1,1,0,0,1
2016010000579,5,2,2,4,0,1
2016010000582,4,2,2,0,0,1
2016010000583,4,2,2,0,0,1
2016010000584,4,2,2,0,0,1
2016010000585,1,1,1,0,0,1
2016010000586,4,8,2,0,0,1
2016010000587,4,1,2,0,0,1
2016010000588,4,2,2,0,0,1
2016010000590,4,2,2,0,2,1
2016010000592,4,1,1,0,0,1
2016010000593,4,2,2,0,0,1
2016010000594,4,1,1,0,0,1
2016010000596,4,2,2,0,0,1
2016010000597,4,2,2,0,0,1
2016010000599,4,1,2,0,0,1
2016010000602,4,2,2,0,2,1
2016010000605,4,1,1,0,0,1
2016010000607,4,1,2,0,7,1
2016010000608,4,5,2,0,2,1
2016010000609,4,2,2,0,0,1
2016010000610,4,1,1,0,0,1
2016010000611,1,1,1,0,0,1
2016010000612,1,1,1,0,0,1
2016010000613,4,1,1,0,0,1
2016010000614,1,1,1,0,0,1
